"";"x"
"RP1-102H19.8";48
"C22orf46";48
"RP11-284N8.3";48
"ZYG11B";48
"LA16c-431H6.6";48
"TOP1MT";48
"FAM175A";48
"ENO1-AS1";48
"SLC35G1";48
"CTC-338M12.5";48
"FOXN2";48
"PCNXL2";48
"AC018445.1";48
"RP11-143J12.2";48
"HNRNPA1L2";48
"VSIG1";48
"NKD1";48
"C9orf72";48
"THAP5";48
"MARCH9";48
"NPAT";48
"ACAT1";48
"TIMM10";48
"RP4-594I10.3";48
"RAB3A";48
"ACSL6";48
"C12orf79";48
"SBK1";48
"PRPF40B";48
"MOCS2";48
"SFXN2";48
"NR3C2";48
"AL591479.1";48
"RAB20";48
"USP3";48
"CUBN";48
"LYRM9";48
"CLUAP1";48
"LRRC69";48
"PLEC";48
"TCOF1";49
"THBS1";49
"ELMSAN1";49
"ARRDC3";49
"GAN";49
"LINC00685";49
"EHD4";49
"KIF23";49
"C3orf58";49
"RP11-356I2.4";49
"ZNF184";49
"TAF9";49
"TMCC3";49
"APOBEC3D";49
"SLC5A6";49
"DNAL1";49
"FAM122C";49
"CBX6";49
"RDH11";49
"SHROOM1";49
"SESN2";49
"KIF3B";49
"THUMPD2";49
"IBA57";49
"WDR76";49
"TTF2";49
"MFAP1";49
"PSMD5-AS1";49
"RP11-262H14.3";49
"DNAJC25";49
"ARHGEF26";49
"CEP152";49
"DDX52";49
"SLC35E3";49
"AGPAT1";49
"CPEB4";49
"ZKSCAN1";49
"DHX57";49
"UHRF1BP1L";49
"BARD1";49
"TOPORS";49
"MCM7";49
"CENPQ";49
"MSMO1";49
"ZCCHC10";49
"ZNF37A";49
"NUBP1";49
"SMAD7";49
"MB21D1";49
"LRRC8A";49
"RP11-83A24.2";49
"AZI2";49
"MLTK";49
"IFIH1";49
"DHTKD1";49
"AC132872.2";49
"GINS4";49
"MFSD6";49
"RP11-343N15.5";49
"SETD2";49
"DBF4";49
"FAM120A";49
"ZNF689";49
"EYA3";49
"DCLRE1C";49
"FAM126A";49
"CCP110";49
"AC093495.4";49
"SNX27";49
"MYO19";49
"RAD54L2";49
"GMEB1";49
"USP30-AS1";49
"ATXN2";49
"APOL2";49
"RP11-85F14.5";49
"KIAA2018";49
"MTF1";49
"AC090186.1";49
"DICER1";49
"C12orf43";49
"SRRT";49
"DTX3L";49
"ATP5L2";49
"DCAF17";49
"POGZ";49
"STAT2";49
"CCDC144A";49
"C1orf131";49
"KDM4B";49
"GSPT2";49
"OGG1";49
"UBXN7";49
"CTD-2521M24.9";49
"GHRL";49
"ACBD5";49
"WIPF2";49
"HLA-G";49
"RP11-415F23.2";49
"FAM160B1";49
"PRKAR2A";49
"RFK";49
"TTC37";49
"CTD-2369P2.2";49
"PDP1";49
"CTC-425F1.4";49
"FEN1";49
"TRIM24";49
"EAF1-AS1";49
"MSH2";49
"KIAA0232";49
"FGF9";49
"PRR14L";49
"MTERFD3";49
"NBEAL2";49
"CCDC43";49
"NUDT19";49
"VPRBP";49
"HEATR5B";49
"USP10";49
"TLK2";49
"ZMYND8";49
"HMGCR";49
"PPP2R1B";49
"GOLGA3";49
"ACTR8";49
"PAAF1";49
"RPAP2";49
"STK38L";49
"AP003774.1";49
"DLG1";49
"NOL8";49
"ODF3B";49
"TOR1AIP2";49
"GIGYF1";49
"CMTR2";49
"CSNK1G1";49
"RFC4";49
"SH2D6";49
"ATP6V1A";49
"RCL1";49
"NUFIP1";49
"NIPAL3";49
"SLC25A17";49
"PATL1";49
"SESTD1";49
"ATP2A2";49
"GFM2";49
"KLHL28";49
"TMEM64";49
"UBE2Q1";49
"CCDC157";49
"SCO1";49
"STX6";49
"RPSAP58";50
"TUBA4A";50
"GIMAP4";50
"CDC25B";50
"LINC00861";50
"CPNE2";50
"GIMAP7";50
"PRKCB";50
"FAM102A";50
"TECPR1";50
"IL27RA";50
"TC2N";50
"ZNF90";50
"XRRA1";50
"ST6GAL1";50
"RASA3";50
"GIMAP5";50
"STK38";50
"SPTBN1";50
"S1PR4";50
"ANXA2R";50
