"";"x"
"G0S2";11
"CXCL3";11
"RASD1";11
"SOX4";11
"HSPB1";11
"ADM";11
"CXorf21";11
"SERPINA1";11
"RP11-6F2.5";11
"S100B";11
"SGK1";11
"TSC22D1";11
"SCXA";11
"RPPH1";11
"IGFBP7";11
"BAMBI";11
"SCT";11
"ID1";11
"RAMP1";11
"FAM167A";11
"THY1";11
"PNP";11
"TOX2";11
"AURKA";11
"NRP1";11
"FXYD7";11
"BATF3";11
"MYB";11
"RP11-81H14.2";11
"SGIP1";11
"MEF2C";11
"ZNF503";11
"CYSLTR1";11
"HIST1H2AC";11
"PGM2L1";11
"EMP1";11
"NEK8";11
"CLEC11A";11
"RP11-492E3.2";11
"MXD1";11
"HBEGF";11
"RP11-76E17.3";11
"B3GALNT2";11
"ARHGAP24";11
"RP1-102K2.8";11
"RP11-443B7.1";11
"CTD-2325P2.4";11
"ZNF141";11
"RP11-254F7.2";11
"TIAM1";11
"GNL3";11
"DAAM1";11
"SPTLC3";11
"EPB41L2";11
"NKX3-1";11
"CYGB";11
"HOXA10-AS";11
"GNAI1";11
"ARHGEF10";11
"ATF5";11
"PLEKHA5";11
"GRAMD3";11
"AC022182.3";11
"RBKS";11
"RCAN1";11
"TCEAL4";11
"IRF2BP2";11
"FRAT2";11
"RN7SL1";11
"FAM124B";11
"BFSP2-AS1";11
"EMID1";11
"NEK10";11
"UGCG";11
"STARD10";11
"SLC9A3R2";11
"WDR86";11
"HIST2H2BE";11
"CTD-2576D5.4";11
"LACC1";11
"CST3";11
"NT5E";11
"CD33";11
"C12orf73";11
"ARHGEF39";11
"PPIF";11
"CTA-29F11.1";11
"SNCA";11
"TSSC1";11
"MYO1B";11
"MPPED2";11
"STAC";11
"ATP10A";11
"APP";11
"NBPF10";11
"ZCCHC2";11
"CXorf40A";11
"RAB32";11
"HOXA6";11
"PSTPIP2";11
"CCDC138";11
"MRC2";11
"IL4R";11
"JUP";11
"CCDC88A";11
"PDE6G";11
"UBXN2A";11
"MMRN1";11
"MAP3K13";11
"LACTB";11
"MACC1";11
"ABTB2";11
"IGF2BP2";11
"JAG1";11
"WDR45B";11
"BANK1";11
"SETD8";11
"FHL1";11
"CTSA";11
"RASSF8-AS1";11
"SSBP2";11
"CXorf40B";11
"HSPD1";11
"ESPN";11
"NFKBIE";11
"SLC19A2";11
"NUDT7";11
"MARCKS";11
"TANC1";11
"DENND5A";11
"CERS6";11
"SAMD12";11
"DNAH14";11
"BRD1";11
"MASTL";11
"PURB";11
"TNFRSF11A";11
"ORAI3";11
"AC023590.1";11
"GPRC5C";11
"CKAP4";11
"ZFYVE9";11
"MAML3";11
"C11orf74";11
"RERE";11
"ASPH";11
"CYFIP1";11
"SHF";11
"STK3";11
"IGSF10";11
"DACH1";11
"METTL21A";11
"RP11-848P1.4";11
"EVA1B";11
"ARL13B";11
"MTHFD2L";11
"DPPA4";11
"MSRA";11
"MEF2A";11
"C2CD4D";11
"ETV6";11
"AC079305.10";11
"SAMD4A";11
"PABPC4";11
"WDR59";11
"FNBP1L";11
"ICOSLG";11
"FARS2";11
"SERTAD2";11
"USP37";11
"IFFO2";11
"SERP2";11
"ZNF618";11
"CPNE8";11
"SNHG12";11
"PLEKHN1";11
"APLP2";11
"PMCH";12
"ZNF80";12
"RP11-1399P15.1";12
"BASP1";12
"CISH";12
"MRPL1";12
"OPRM1";12
"RP11-796G6.2";12
"P2RX5";12
"PHLDA3";12
"LRG1";12
"MX1";12
"B3GAT1";12
"HELLS";12
"SIRPB1";12
"FGL2";12
"DGKH";12
"BBC3";12
"CKAP2";12
"SYT11";12
"NUSAP1";12
"ZNF281";12
"C9orf38";12
"MFHAS1";12
"AC104820.2";12
"CD40";12
"IL21R";12
"TRIM59";12
"C4orf27";12
"FDXR";12
"KCNK5";12
"ZNF101";12
"IKZF4";12
"L3MBTL3";12
"MXD4";12
"CISD1";12
"MEOX1";12
"RP11-545E17.3";12
"PLCL1";12
"ATP6V0A1";12
"KLF9";12
"CHST7";12
"PIP5K1B";12
"PIK3R3";12
"CEP128";12
"LZIC";12
"C3orf14";12
"LRRC8B";12
"RP11-14N7.2";12
"RUNX1";12
"AEN";12
"LY75";12
"DDB2";12
"BAX";12
"RPL26L1";12
"RYR1";12
"RP11-275I4.2";12
"PCNA";12
"SAYSD1";12
"XPC";12
"CDC37L1";12
"LINC00426";12
"MAP3K5";12
"EXOC6B";12
"EGR4";13
"ARL4D";13
"HECTD1";13
"IER3";13
"EGR3";13
"GPM6B";13
"SYNGR1";13
"RP11-327P2.5";13
"THAP2";13
"ULBP2";13
"RBBP8";13
"GPR35";13
"IRS2";13
"TUBB2A";13
"PTP4A1";13
"FADS3";13
"RP11-51J9.5";13
"TTPAL";13
"GRASP";13
"RP11-373D23.3";13
"ALG13";13
"SIK1";13
"AVPI1";13
"HCG18";13
"KLF10";13
"ANKRD9";13
"RP11-73E17.2";13
"PRR7";13
"DDIT3";13
"MIDN";13
"TMEM88";13
"ZFAND2A";13
"POLR2A";13
"MNAT1";13
"PLCB1";13
"DCTN6";13
"TRAPPC2P1";13
"AAED1";13
"HES1";14
"LTA";14
"C2CD4B";14
"C2CD4A";14
"FAM174B";14
"USP51";14
"RP11-316P17.2";14
"TTN";14
"MIR146A";14
"VDR";14
"PTPLA";14
"BCAS3";14
"REC8";14
"RYBP";14
"CEACAM1";14
"CCDC141";14
"PAK3";14
"CYP7B1";14
"IZUMO4";14
"LRBA";14
"AGPAT9";14
"INPP5F";14
"SLC41A1";14
"ZNF267";14
"HIVEP1";14
"AP1S2";14
"EEPD1";14
"MAPK6";14
"PKD2";14
"FYCO1";14
"MAFG";14
"SLC43A3";14
"SYNGR2";14
"HERC6";14
"CBX5";14
"CCDC122";14
"RMI2";14
"HSDL2";14
"SYNGAP1";14
"SMAD1";14
"ERI1";14
"ATP13A3";14
"DMGDH";14
"ANKRD35";14
"DIAPH2";14
"MBIP";14
"JUN";15
"IGJ";15
"RGCC";15
"JUNB";15
"LMNA";15
"TOB1";15
"IL23A";15
"SEMA4A";15
"SLC2A3";15
"RP1-313I6.12";15
"OLFM4";16
"RP11-338I21.1";16
"TPSAB1";16
"LYZ";16
"APOA1";16
"PRSS3";16
"PLA2G2A";16
"HPGDS";16
"SPARCL1";16
"STMN1";16
"CYB5D2";16
"IL17RB";16
"BCYRN1";16
"EGLN3";16
"TSPAN15";16
"RP1-37N7.3";16
"TMC5";16
"WBP5";16
"RP3-325F22.5";16
"COL6A2";16
"SPDL1";16
"DSEL";16
"AARSD1";16
"TRMT10A";16
"RP11-295G20.2";16
"LOH12CR2";16
"CCDC152";16
"HNRNPU-AS1";16
"ZNF711";16
